Data,Open,High,Low,Close
11/08/2023 17:15:00,120.455,120.465,120.440,120.460
11/08/2023 17:10:00,120.495,120.500,120.440,120.460
11/08/2023 17:05:00,120.440,120.510,120.435,120.480
11/08/2023 17:00:00,120.400,120.470,120.385,120.440
11/08/2023 16:55:00,120.390,120.390,120.275,120.385
11/08/2023 16:50:00,120.275,120.410,120.255,120.400
11/08/2023 16:45:00,120.325,120.330,120.270,120.280
11/08/2023 16:40:00,120.260,120.325,120.245,120.325
11/08/2023 16:35:00,120.300,120.300,120.215,120.270
11/08/2023 16:30:00,120.215,120.435,120.215,120.300
11/08/2023 16:25:00,120.145,120.280,120.145,120.235
11/08/2023 16:20:00,120.100,120.170,120.065,120.140
11/08/2023 16:15:00,120.065,120.110,120.045,120.100
11/08/2023 16:10:00,120.120,120.145,120.070,120.095
11/08/2023 16:05:00,120.150,120.180,120.110,120.110
11/08/2023 16:00:00,120.140,120.215,120.120,120.150
11/08/2023 15:55:00,120.055,120.185,120.055,120.135
11/08/2023 15:50:00,120.040,120.125,120.035,120.045
11/08/2023 15:45:00,120.020,120.065,119.990,120.035
11/08/2023 15:40:00,120.020,120.025,119.975,120.020
11/08/2023 15:35:00,119.870,120.015,119.840,119.995
11/08/2023 15:30:00,119.905,120.010,119.870,119.870
11/08/2023 15:25:00,120.030,120.080,119.875,119.910
11/08/2023 15:20:00,120.145,120.145,119.995,120.045
11/08/2023 15:15:00,119.905,120.165,119.905,120.165
11/08/2023 15:10:00,120.085,120.095,119.850,119.895
11/08/2023 15:05:00,120.090,120.200,120.075,120.095
11/08/2023 15:00:00,120.100,120.185,120.065,120.065
11/08/2023 14:55:00,120.040,120.120,120.040,120.095
11/08/2023 14:50:00,120.040,120.070,120.015,120.020
11/08/2023 14:45:00,119.985,120.080,119.955,120.040
11/08/2023 14:40:00,120.030,120.095,119.945,120.025
11/08/2023 14:35:00,120.185,120.220,119.935,120.050
11/08/2023 14:30:00,120.340,120.345,120.155,120.155
11/08/2023 14:25:00,120.330,120.365,120.285,120.320
11/08/2023 14:20:00,120.210,120.315,120.155,120.310
11/08/2023 14:15:00,120.075,120.235,120.050,120.200
11/08/2023 14:10:00,120.330,120.360,120.060,120.095
11/08/2023 14:05:00,120.650,120.650,120.290,120.355
11/08/2023 14:00:00,120.625,120.770,120.595,120.655
11/08/2023 13:55:00,120.945,120.945,120.615,120.625
11/08/2023 13:50:00,121.000,121.000,120.940,120.945
11/08/2023 13:45:00,121.000,121.045,121.000,121.015
11/08/2023 13:40:00,121.085,121.090,120.975,120.980
11/08/2023 13:35:00,121.050,121.085,121.025,121.065
11/08/2023 13:30:00,121.105,121.160,121.095,121.095
11/08/2023 13:25:00,121.190,121.190,121.060,121.085
11/08/2023 13:20:00,121.160,121.335,121.160,121.175
11/08/2023 13:15:00,120.960,121.180,120.960,121.180
11/08/2023 13:10:00,120.955,120.970,120.925,120.955
11/08/2023 13:05:00,121.010,121.090,120.965,120.965
11/08/2023 13:00:00,121.030,121.050,120.960,120.995
11/08/2023 12:55:00,120.990,121.020,120.955,121.005
11/08/2023 12:50:00,120.895,120.960,120.895,120.950
11/08/2023 12:45:00,120.945,120.945,120.850,120.910
11/08/2023 12:40:00,120.970,120.995,120.880,120.955
11/08/2023 12:35:00,121.055,121.055,120.985,120.985
11/08/2023 12:30:00,121.000,121.075,120.960,121.020
11/08/2023 12:25:00,121.065,121.065,121.020,121.030
11/08/2023 12:20:00,120.980,121.120,120.980,121.095
11/08/2023 12:15:00,120.940,121.000,120.925,120.965
11/08/2023 12:10:00,121.200,121.220,120.930,120.930
11/08/2023 12:05:00,121.220,121.320,121.215,121.230
11/08/2023 12:00:00,121.180,121.245,121.165,121.220
11/08/2023 11:55:00,121.260,121.260,121.050,121.160
11/08/2023 11:50:00,121.140,121.245,121.105,121.245
11/08/2023 11:45:00,121.240,121.250,121.125,121.150
11/08/2023 11:40:00,121.320,121.380,121.210,121.215
11/08/2023 11:35:00,121.190,121.315,121.180,121.310
11/08/2023 11:30:00,121.285,121.305,121.170,121.200
11/08/2023 11:25:00,121.130,121.280,121.110,121.265
11/08/2023 11:20:00,121.310,121.375,121.115,121.135
11/08/2023 11:15:00,121.265,121.520,121.250,121.270
11/08/2023 11:10:00,121.280,121.280,121.205,121.250
11/08/2023 11:05:00,121.445,121.495,121.240,121.300
11/08/2023 11:00:00,121.200,121.495,121.150,121.415
11/08/2023 10:55:00,121.135,121.200,121.025,121.190
11/08/2023 10:50:00,121.220,121.240,121.010,121.130
11/08/2023 10:45:00,121.285,121.330,121.160,121.230
11/08/2023 10:40:00,121.505,121.565,121.265,121.285
11/08/2023 10:35:00,121.260,121.500,121.260,121.500
11/08/2023 10:30:00,121.395,121.410,121.190,121.255
11/08/2023 10:25:00,121.460,121.515,121.370,121.375
11/08/2023 10:20:00,121.395,121.565,121.260,121.470
11/08/2023 10:15:00,121.065,121.480,121.065,121.380
11/08/2023 10:10:00,120.810,121.040,120.810,121.040
11/08/2023 10:05:00,120.800,120.900,120.760,120.810
11/08/2023 10:00:00,120.765,120.880,120.745,120.855
11/08/2023 09:55:00,120.810,120.825,120.735,120.775
11/08/2023 09:50:00,120.830,120.900,120.725,120.780
11/08/2023 09:45:00,120.960,121.005,120.825,120.845
11/08/2023 09:40:00,121.185,121.190,120.970,120.980
